"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"14786826";"1";"2025-02-10 12:15:00.000";"7";"1"
"14787061";"1";"2025-02-10 10:45:00.000";"9";"1"
"14787343";"1";"2025-02-10 12:00:00.000";"20";"1"
"14791766";"1";"2025-02-10 12:30:00.000";"57";"4"
"14792921";"1";"2025-02-10 12:30:00.000";"13";"2"
"14794438";"1";"2025-02-10 12:30:00.000";"26";"7"
"14794988";"1";"2025-02-10 12:30:00.000";"27";"11"
"14795503";"1";"2025-02-10 11:15:00.000";"46";"1"
"14795590";"1";"2025-02-10 07:00:00.000";"55";"1"
"14795856";"1";"2025-02-10 11:15:00.000";"45";"1"
"14795856";"2";"2025-02-10 10:45:00.000";"50";"1"
"14796128";"1";"2025-02-10 11:15:00.000";"28";"1"
"14796237";"2";"2025-02-09 23:15:00.000";"15";"1"
"14796577";"1";"2025-02-10 10:00:00.000";"9";"1"
"14796608";"1";"2025-02-10 08:00:00.000";"20";"1"
"14798183";"1";"2025-02-10 12:30:00.000";"19";"4"
"14798387";"2";"2025-02-09 23:45:00.000";"19";"1"
"14798438";"1";"2025-02-10 10:00:00.000";"20";"1"
"14798438";"2";"2025-02-10 12:15:00.000";"22";"1"
"14798858";"1";"2025-02-10 12:30:00.000";"19";"2"
"14798944";"1";"2025-02-10 12:30:00.000";"15";"1"
"14799032";"1";"2025-02-10 12:30:00.000";"23";"1"
"14799150";"2";"2025-02-10 12:30:00.000";"28";"3"
"14799250";"1";"2025-02-10 12:15:00.000";"13";"1"
"14799416";"1";"2025-02-10 12:30:00.000";"33";"1"
"14799485";"1";"2025-02-10 12:00:00.000";"21";"1"
"14799577";"1";"2025-02-10 12:15:00.000";"19";"1"
"14799706";"1";"2025-02-10 12:30:00.000";"28";"10"
"14799975";"1";"2025-02-10 12:30:00.000";"18";"3"
"14801337";"1";"2025-02-10 12:30:00.000";"30";"3"
"14801337";"2";"2025-02-10 12:30:00.000";"36";"1"
"14801679";"1";"2025-02-10 12:15:00.000";"32";"1"
"14801679";"2";"2025-02-10 12:30:00.000";"27";"1"
"14801773";"2";"2025-02-10 02:15:00.000";"11";"1"
"14801834";"1";"2025-02-10 11:45:00.000";"27";"1"
"14801834";"2";"2025-02-10 12:15:00.000";"23";"1"
"14801921";"1";"2025-02-10 12:30:00.000";"27";"3"
"14802356";"1";"2025-02-10 12:15:00.000";"66";"1"
"14802552";"1";"2025-02-10 08:30:00.000";"41";"1"
"14802632";"1";"2025-02-10 12:30:00.000";"61";"1"
"14802803";"1";"2025-02-10 11:30:00.000";"50";"1"
"14803551";"1";"2025-02-10 12:30:00.000";"13";"2"
"14803623";"1";"2025-02-10 11:15:00.000";"26";"1"
"14803773";"1";"2025-02-10 11:15:00.000";"24";"1"
"14804056";"1";"2025-02-10 12:00:00.000";"26";"1"
"14804104";"1";"2025-02-10 12:15:00.000";"17";"1"
"14804195";"1";"2025-02-10 09:15:00.000";"14";"1"
"14804195";"2";"2025-02-10 12:00:00.000";"25";"1"
"14804282";"1";"2025-02-10 12:00:00.000";"16";"1"
"14804466";"1";"2025-02-10 11:45:00.000";"20";"1"
"14804686";"1";"2025-02-10 12:30:00.000";"20";"1"
"14804686";"2";"2025-02-10 12:00:00.000";"29";"1"
"14804971";"1";"2025-02-10 07:45:00.000";"26";"1"
"14804971";"2";"2025-02-10 10:45:00.000";"30";"1"
"14805069";"1";"2025-02-10 11:45:00.000";"20";"1"
"14805240";"1";"2025-02-10 12:15:00.000";"24";"1"
"14805458";"1";"2025-02-10 12:30:00.000";"31";"1"
"14805500";"1";"2025-02-10 10:00:00.000";"29";"1"
"14805644";"1";"2025-02-10 12:30:00.000";"12";"2"
